/00 - Health | GET {{base_url}}/health | Health check
/01 - Geografía | GET {{base_url}}/geografia/provincias | Listar provincias
/01 - Geografía | GET {{base_url}}/geografia/localidades?provinciaId={{provincia_id}} | Listar localidades de Tierra del Fuego
/01 - Geografía | GET {{base_url}}/geografia/localidades | [negativo] Listar localidades sin provinciaId
/02 - Auth | POST {{base_url}}/auth/registro/cliente | Registro Cliente
/02 - Auth | POST {{base_url}}/auth/registro/comercio | Registro Comercio A
/02 - Auth | POST {{base_url}}/auth/registro/comercio | Registro Comercio B
/02 - Auth | GET {{base_url}}/test/token-verificacion?email={{cliente_email}} | Bypass test - token verificación Cliente
/02 - Auth | GET {{base_url}}/auth/verificar/{{token_verif_cliente}} | Verificar cuenta Cliente
/02 - Auth | GET {{base_url}}/test/token-verificacion?email={{comercioA_email}} | Bypass test - token verificación Comercio A
/02 - Auth | GET {{base_url}}/auth/verificar/{{token_verif_comercioA}} | Verificar cuenta Comercio A
/02 - Auth | GET {{base_url}}/test/token-verificacion?email={{comercioB_email}} | Bypass test - token verificación Comercio B
/02 - Auth | GET {{base_url}}/auth/verificar/{{token_verif_comercioB}} | Verificar cuenta Comercio B
/02 - Auth | POST {{base_url}}/auth/login | Login Cliente
/02 - Auth | POST {{base_url}}/auth/login | Login Comercio A
/02 - Auth | POST {{base_url}}/auth/login | Login Comercio B
/02 - Auth | POST {{base_url}}/auth/login | Login Administrador
/02 - Auth | POST {{base_url}}/auth/login | [negativo] Login con password incorrecta
/02 - Auth | POST {{base_url}}/auth/registro/cliente | [negativo] Registro Cliente con localidadId inexistente
/03 - Administrador | GET {{base_url}}/administrador/comercios/pendientes | Listar comercios pendientes
/03 - Administrador | PUT {{base_url}}/administrador/comercios/{{comercio_a_id}}/resolver | Aprobar Comercio A
/03 - Administrador | PUT {{base_url}}/administrador/comercios/{{comercio_b_id}}/resolver | Aprobar Comercio B
/03 - Administrador | POST {{base_url}}/categorias | Crear categoría
/03 - Administrador | POST {{base_url}}/tags | Crear tag
/03 - Administrador | GET {{base_url}}/administrador/comercios/pendientes | [negativo] Listar comercios pendientes con token de Cliente
/04 - Productos | POST {{base_url}}/productos | Crear producto (Comercio A)
/04 - Productos | POST {{base_url}}/productos | Crear producto (Comercio B)
/04 - Productos | POST {{base_url}}/productos/{{producto_id}}/cloudinary/firma | Pedir firma Cloudinary para imagen de producto
/04 - Productos | POST {{base_url}}/productos/{{producto_id}}/imagenes | Agregar imagen 1 (principal)
/04 - Productos | POST {{base_url}}/productos/{{producto_id}}/imagenes | Agregar imagen 2
/04 - Productos | POST {{base_url}}/productos/{{producto_id}}/imagenes | Agregar imagen 3
/04 - Productos | POST {{base_url}}/productos/{{producto_id}}/imagenes | Agregar imagen 4
/04 - Productos | POST {{base_url}}/productos/{{producto_id}}/imagenes | Agregar imagen 5
/04 - Productos | POST {{base_url}}/productos/{{producto_id}}/imagenes | [negativo] Agregar imagen 6 (límite de galería)
/04 - Productos | PATCH {{base_url}}/productos/999999/estado | [negativo] Cambiar estado de producto inexistente
/05 - Catálogo | GET {{base_url}}/catalogo/comercios | Listar comercios del catálogo
/05 - Catálogo | GET {{base_url}}/catalogo/comercios/{{comercio_a_id}}/productos | Listar productos del comercio (con galería)
/06 - Carrito | POST {{base_url}}/carrito/items | Agregar producto A al carrito
/06 - Carrito | POST {{base_url}}/carrito/items | [negativo] Agregar producto de otro comercio
/06 - Carrito | GET {{base_url}}/carrito | Ver carrito
/07 - Pedidos | POST {{base_url}}/pedidos/cliente | Confirmar pedido (Comercio A, retiro)
/07 - Pedidos | GET {{base_url}}/pedidos/comercio | Ver pedidos pendientes del Comercio A
/07 - Pedidos | PUT {{base_url}}/pedidos/comercio/{{pedido_id}}/aceptar | Aceptar pedido
/07 - Pedidos | POST {{base_url}}/carrito/items | Agregar producto B al carrito (segundo pedido)
/07 - Pedidos | POST {{base_url}}/pedidos/cliente | Confirmar pedido (Comercio B, retiro)
/07 - Pedidos | PUT {{base_url}}/pedidos/comercio/{{pedido_b_id}}/rechazar | Rechazar pedido con motivo (Comercio B)
/08 - Notificaciones | GET {{base_url}}/notificaciones | Ver notificaciones del cliente
/08 - Notificaciones | PUT {{base_url}}/notificaciones/{{notif_id}}/leida | Marcar notificación como leída
/08 - Notificaciones | GET {{base_url}}/notificaciones/no-leidas/contador | Ver contador de no leídas
/09 - Auth avanzado (codigo, recuperacion, reactivacion, cambiar-password, logout) | POST {{base_url}}/auth/registro/cliente | Registro Cliente E (para verificacion por codigo)
/09 - Auth avanzado (codigo, recuperacion, reactivacion, cambiar-password, logout) | POST {{base_url}}/auth/verificar | [negativo] Verificar con codigo incorrecto
/09 - Auth avanzado (codigo, recuperacion, reactivacion, cambiar-password, logout) | GET {{base_url}}/test/token?email={{clienteE_email}}&tipo=VERIFICACION_EMAIL | Bypass test - obtener codigo verificacion Cliente E
/09 - Auth avanzado (codigo, recuperacion, reactivacion, cambiar-password, logout) | POST {{base_url}}/auth/verificar | Verificar cuenta Cliente E con codigo real (flujo primario, no bypass de link)
/09 - Auth avanzado (codigo, recuperacion, reactivacion, cambiar-password, logout) | POST {{base_url}}/auth/login | Login Cliente E (confirma mismo estado final que el bypass de link)
/09 - Auth avanzado (codigo, recuperacion, reactivacion, cambiar-password, logout) | POST {{base_url}}/auth/registro/cliente | Registro Cliente F (para el negativo de abajo y reenvio)
/09 - Auth avanzado (codigo, recuperacion, reactivacion, cambiar-password, logout) | POST {{base_url}}/auth/login | [negativo] Login antes de verificar (Usuario PENDIENTE)
/09 - Auth avanzado (codigo, recuperacion, reactivacion, cambiar-password, logout) | POST {{base_url}}/auth/reenviar-verificacion | Reenviar verificacion Cliente F
/09 - Auth avanzado (codigo, recuperacion, reactivacion, cambiar-password, logout) | POST {{base_url}}/auth/reenviar-verificacion | [negativo] Reenviar verificacion de cuenta ya activa (Cliente E)
/09 - Auth avanzado (codigo, recuperacion, reactivacion, cambiar-password, logout) | POST {{base_url}}/auth/reenviar-verificacion | [negativo] Reenviar verificacion de email inexistente
/09 - Auth avanzado (codigo, recuperacion, reactivacion, cambiar-password, logout) | POST {{base_url}}/auth/recuperar-password | Solicitar recuperacion de password (Cliente E)
/09 - Auth avanzado (codigo, recuperacion, reactivacion, cambiar-password, logout) | POST {{base_url}}/auth/recuperar-password | [negativo] Solicitar recuperacion con email inexistente (no revela existencia)
/09 - Auth avanzado (codigo, recuperacion, reactivacion, cambiar-password, logout) | GET {{base_url}}/test/token?email={{clienteE_email}}&tipo=RECUPERACION_PASSWORD | Bypass test - obtener codigo recuperacion Cliente E
/09 - Auth avanzado (codigo, recuperacion, reactivacion, cambiar-password, logout) | POST {{base_url}}/auth/recuperar-password/validar-codigo | [negativo] Validar codigo de recuperacion incorrecto
/09 - Auth avanzado (codigo, recuperacion, reactivacion, cambiar-password, logout) | POST {{base_url}}/auth/recuperar-password/validar-codigo | Validar codigo de recuperacion correcto
/09 - Auth avanzado (codigo, recuperacion, reactivacion, cambiar-password, logout) | POST {{base_url}}/auth/recuperar-password/confirmar | Confirmar recuperacion de password (Cliente E)
/09 - Auth avanzado (codigo, recuperacion, reactivacion, cambiar-password, logout) | POST {{base_url}}/auth/login | Login Cliente E con la password nueva (confirma que cambio de verdad)
/09 - Auth avanzado (codigo, recuperacion, reactivacion, cambiar-password, logout) | POST {{base_url}}/auth/login | [negativo] Login con la password vieja ya no sirve
/09 - Auth avanzado (codigo, recuperacion, reactivacion, cambiar-password, logout) | POST {{base_url}}/auth/cambiar-password | [negativo] Cambiar password con la actual incorrecta
/09 - Auth avanzado (codigo, recuperacion, reactivacion, cambiar-password, logout) | POST {{base_url}}/auth/cambiar-password | [negativo] Cambiar password nueva igual a la actual
/09 - Auth avanzado (codigo, recuperacion, reactivacion, cambiar-password, logout) | POST {{base_url}}/auth/cambiar-password | Cambiar password desde perfil (Cliente E)
/09 - Auth avanzado (codigo, recuperacion, reactivacion, cambiar-password, logout) | POST {{base_url}}/auth/reactivar-cuenta | Solicitar reactivacion sobre cuenta ya activa (sin efecto observable, 200 igual)
/09 - Auth avanzado (codigo, recuperacion, reactivacion, cambiar-password, logout) | POST {{base_url}}/auth/reactivar-cuenta/confirmar | [negativo] Confirmar reactivacion con codigo inexistente (cuenta activa, sin token pendiente)
/09 - Auth avanzado (codigo, recuperacion, reactivacion, cambiar-password, logout) | POST {{base_url}}/auth/login | Login Cliente E de nuevo (para probar logout)
/09 - Auth avanzado (codigo, recuperacion, reactivacion, cambiar-password, logout) | POST {{base_url}}/auth/logout | Logout Cliente E
